Chromosome	Bin	Island	../data/bed/Exp1_24_Polymerase_II.bed.gz	../data/bed/Exp2_24_Polymerase_II.bed.gz	../data/bed/Exp1_24h_Input.bed.gz	../data/bed/Exp2_24h_Input.bed.gz
chr1	10000	False	5	0	1	1
chr1	10050	True	4	2	4	2
chr1	10100	True	4	2	3	5
chr1	10150	True	1	2	7	3
chr1	10200	True	2	1	2	2
chr1	10250	True	7	2	2	6
chr1	10300	True	1	4	2	1
chr1	10350	True	5	2	4	3
chr1	10400	True	1	1	3	2
chr1	10450	True	1	3	2	2
chr1	10500	True	1	1	1	2
chr1	10600	True	1	2	0	0
chr1	10650	True	1	1	0	0
chr1	10850	True	0	2	0	0
chr1	10900	True	0	2	1	0
chr1	11050	True	0	2	1	1
chr1	11100	True	1	3	0	0
chr1	11150	True	0	3	0	1
chr1	11200	True	1	4	2	2
chr1	11250	True	2	6	1	0
chr1	11300	True	0	2	0	0
chr1	11350	True	0	1	0	2
chr1	11400	True	1	3	3	3
chr1	11450	True	0	1	0	0
chr1	11500	True	0	2	3	0
chr1	11550	True	1	1	5	2
chr1	11600	True	0	2	3	2
chr1	11650	True	4	3	2	1
chr1	11700	True	3	6	4	1
chr1	11750	True	4	2	3	3
chr1	11800	True	4	1	1	1
chr1	11850	True	2	1	5	1
chr1	11900	True	0	3	2	1
chr1	11950	True	5	2	1	0
chr1	12000	True	5	3	4	4
chr1	12050	True	1	1	1	1
chr1	12100	True	0	1	2	3
chr1	12150	True	1	2	0	1
chr1	12200	True	2	0	1	1
chr1	12250	True	2	1	1	2
chr1	12300	True	2	1	5	2
chr1	12350	True	1	1	1	1
chr1	12400	True	2	1	1	2
chr1	12450	True	2	2	1	2
chr1	12500	True	2	3	3	2
chr1	12550	True	1	0	1	2
chr1	12600	True	2	4	1	1
chr1	12650	True	1	1	1	2
chr1	12700	True	0	2	1	4
chr1	12750	True	5	2	3	1
chr1	12800	True	2	3	2	2
chr1	12850	True	1	1	1	0
chr1	12900	True	2	2	1	1
chr1	12950	True	0	1	2	0
chr1	13000	True	2	3	0	2
chr1	13050	True	2	3	1	1
chr1	13100	True	2	2	1	0
chr1	13150	True	4	2	0	1
chr1	13200	True	4	0	2	0
chr1	13250	True	2	1	0	3
chr1	13300	True	4	2	1	0
chr1	13350	True	2	1	0	3
chr1	13400	True	1	4	0	2
chr1	13450	True	7	0	1	3
chr1	13500	True	4	4	2	0
chr1	13550	True	2	1	1	0
chr1	13600	True	6	4	3	2
chr1	13650	True	8	5	4	1
chr1	13700	True	5	6	1	2
chr1	13750	True	7	3	3	3
chr1	13800	True	6	2	1	0
chr1	13850	True	0	5	0	1
chr1	13900	True	3	3	2	1
chr1	13950	True	6	7	2	4
chr1	14000	True	12	6	3	2
chr1	14050	True	4	2	3	1
chr1	14100	True	3	2	1	2
chr1	14150	True	3	5	3	1
chr1	14200	True	2	2	1	1
chr1	14250	True	3	3	3	3
chr1	14300	True	6	7	5	4
chr1	14350	True	0	1	1	1
chr1	14400	True	1	3	1	3
chr1	14450	True	2	3	4	2
chr1	14500	True	4	5	1	2
chr1	14550	True	3	2	1	1
chr1	14600	True	0	1	0	1
chr1	14650	True	3	6	2	2
chr1	14700	True	3	4	3	3
chr1	14750	True	1	5	2	2
chr1	14800	True	6	0	4	1
chr1	14850	True	2	0	0	0
chr1	14900	True	3	3	0	1
chr1	14950	True	3	4	1	2
chr1	15000	True	4	4	1	1
chr1	15050	True	2	6	0	2
chr1	15100	True	0	2	2	0
chr1	15150	True	2	1	2	1
chr1	15200	True	2	3	2	1
chr1	15250	True	3	2	1	1
chr1	15300	True	4	1	0	1
chr1	15350	True	6	5	2	2
chr1	15400	True	2	1	3	2
chr1	15450	True	3	1	0	1
chr1	15500	True	5	4	3	3
chr1	15550	True	2	6	2	0
chr1	15600	True	1	3	1	0
chr1	15650	True	3	6	5	1
chr1	15700	True	1	2	0	0
chr1	15750	True	3	2	1	2
chr1	15850	True	0	4	1	0
chr1	15900	True	2	2	0	3
chr1	15950	True	1	2	0	1
chr1	16000	True	2	2	0	0
chr1	16050	True	2	3	0	1
chr1	16100	True	4	3	1	2
chr1	16150	True	2	0	1	0
chr1	16200	True	0	3	0	2
chr1	16250	True	2	1	1	3
chr1	16300	True	1	3	0	3
chr1	16350	True	1	3	1	2
chr1	16400	True	2	0	4	5
chr1	16450	True	1	3	3	1
chr1	16500	True	0	3	0	0
chr1	16550	True	1	2	0	3
chr1	16600	True	2	3	3	3
chr1	16650	True	9	1	2	0
chr1	16700	True	2	4	0	0
chr1	16750	True	1	2	1	0
chr1	16800	True	2	3	2	2
chr1	16850	True	3	1	4	0
chr1	16900	True	3	5	1	0
chr1	16950	True	3	5	3	1
chr1	17000	True	1	5	1	3
chr1	17050	True	1	4	1	3
chr1	17100	True	5	3	1	3
chr1	17150	True	2	6	1	0
chr1	17200	True	3	2	1	4
chr1	17250	True	2	1	1	0
chr1	17300	True	2	3	0	2
chr1	17350	True	1	3	0	1
chr1	17400	True	4	3	0	2
chr1	17450	True	4	4	1	1
chr1	17500	True	4	2	0	3
chr1	17550	True	0	2	1	1
chr1	17600	True	2	3	2	1
chr1	17650	True	3	3	0	2
chr1	17700	True	2	3	2	0
chr1	17750	True	4	4	1	2
chr1	17800	True	0	1	1	0
chr1	17850	True	1	2	1	0
chr1	17900	True	3	1	1	1
chr1	17950	True	4	3	1	0
chr1	18000	True	1	3	2	2
